                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2197,                 2.5319,                 1.4994,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.070096,              0.0033226,              0.0033226
                      2,                 2.3796,                  2.688,                 1.5918,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.038778,              0.0053381,              0.0053381
                      3,                   2.34,                  2.608,                 1.5626,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0061404,              0.0060335,              0.0060335
                      4,                 2.2331,                 2.4614,                 1.4903,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00406,                0.00406,                0.00406
                      5,                 2.1492,                 2.3995,                 1.4631,                0.44227,                0.33272,                0.31591,                0.12463,                 2.2071,                 2.1774,                 1.4715,                0.00406,                0.00406,                0.00406
                      1,                 2.2549,                 2.4651,                 1.5173,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.070186,              0.0033421,              0.0033421
                      2,                 2.4024,                  2.692,                 1.6059,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.038952,              0.0053695,              0.0053695
                      3,                 2.3497,                 2.6167,                 1.5749,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0063891,              0.0060692,              0.0060692
                      4,                 2.2468,                 2.4556,                 1.5173,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0040931,              0.0040931,              0.0040931
                      5,                 2.1973,                 2.3794,                 1.4867,                0.44504,                0.32601,                0.29741,                0.11552,                    nan,                    nan,                    nan,              0.0040931,              0.0040931,              0.0040931
                      1,                 2.2261,                 2.1818,                 1.3873,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.066195,              0.0033964,              0.0033964
                      2,                 2.3698,                 2.3385,                 1.4569,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.030935,              0.0054569,              0.0054569
                      3,                  2.339,                 2.3405,                 1.4471,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0055153,              0.0055153,              0.0055153
                      4,                  2.295,                 2.2883,                 1.4349,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0055153,              0.0055153,              0.0055153
                      5,                  2.202,                 2.1744,                  1.384,                0.42326,                0.31319,                0.28803,                0.11379,                 2.2359,                   1.92,                 1.3618,              0.0037079,              0.0037079,              0.0037079
                      1,                 2.5962,                 2.6152,                 1.3767,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.06989,              0.0042543,              0.0042543
                      2,                 2.7675,                 2.9069,                 1.4596,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.037997,              0.0068366,              0.0068366
                      3,                 2.6986,                 2.7673,                 1.4296,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0074824,              0.0074824,              0.0074824
                      4,                 2.6483,                 2.7156,                 1.3857,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0074824,              0.0074824,              0.0074824
                      5,                 2.5048,                 2.5452,                 1.3366,                0.41246,                0.26679,                0.25026,                0.09647,                 2.6397,                 2.3047,                 1.3514,              0.0050336,              0.0050336,              0.0050336
                      1,                 2.4337,                 2.2517,                 1.4027,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.05904,              0.0043096,              0.0043096
                      2,                  2.585,                 2.3915,                 1.4877,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.016242,              0.0069264,              0.0069264
                      3,                 2.5101,                 2.3283,                 1.4302,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0057558,              0.0057558,              0.0057558
                      4,                 2.4326,                 2.2553,                 1.3867,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0057558,              0.0057558,              0.0057558
                      5,                 2.3114,                 2.0829,                 1.3522,                0.41123,                0.31868,                0.29208,                0.12154,                 2.3345,                 1.8074,                 1.3276,              0.0038737,              0.0038737,              0.0038737
                      1,                 2.1698,                 2.2309,                 1.3159,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.06605,              0.0032514,              0.0032514
                      2,                 2.2981,                 2.3624,                 1.3803,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.030702,              0.0052238,              0.0052238
                      3,                 2.2521,                 2.3476,                 1.3517,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0052797,              0.0052797,              0.0052797
                      4,                 2.2279,                 2.2939,                 1.3145,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0052797,              0.0052797,              0.0052797
                      5,                 2.1468,                 2.1931,                 1.2802,                0.38939,                0.28327,                0.24595,                0.09569,                    nan,                    nan,                    nan,              0.0035495,              0.0035495,              0.0035495
                      1,                 2.5478,                 2.2672,                  1.927,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.063823,              0.0040555,              0.0040555
                      2,                 2.7266,                 2.5241,                 2.0421,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.025923,               0.006518,               0.006518
                      3,                 2.6536,                 2.4597,                   2.01,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0060947,              0.0060947,              0.0060947
                      4,                 2.5492,                 2.3091,                 1.9425,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0060947,              0.0060947,              0.0060947
                      5,                 2.4541,                 2.2014,                 1.8816,                0.44503,                0.28632,                0.27924,                0.10068,                 2.6529,                 1.9438,                 1.9147,               0.004102,               0.004102,               0.004102
                      1,                 2.3442,                 2.0563,                 1.2435,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.063314,              0.0031858,              0.0031858
                      2,                 2.5546,                 2.3132,                 1.3341,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.025247,              0.0051184,              0.0051184
                      3,                 2.4891,                 2.1863,                 1.3039,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0048267,              0.0048267,              0.0048267
                      4,                 2.4021,                 2.1068,                 1.2785,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0048267,              0.0048267,              0.0048267
                      5,                 2.2962,                 1.9593,                 1.2221,                0.39444,                0.28938,                0.25911,                0.09174,                 2.5398,                 1.8409,                 1.2751,               0.003245,               0.003245,               0.003245
                      1,                 2.2796,                 2.0178,                 1.5086,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.069106,              0.0034327,              0.0034327
                      2,                 2.4608,                 2.2017,                 1.6269,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.036751,              0.0055152,              0.0055152
                      3,                 2.3942,                 2.1099,                 1.5593,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0060409,              0.0060409,              0.0060409
                      4,                 2.3602,                 2.0686,                 1.5468,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0060409,              0.0060409,              0.0060409
                      5,                   2.29,                 2.0349,                  1.508,                0.37807,                0.28755,                0.25158,                0.10509,                    nan,                    nan,                    nan,              0.0040613,              0.0040613,              0.0040613
                      1,                 2.7399,                 3.0833,                 1.7177,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.078603,               0.002545,               0.002545
                      2,                 2.9036,                 3.3241,                 1.7805,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.056129,              0.0040888,              0.0040888
                      3,                 2.8258,                 3.3279,                 1.7416,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.032643,              0.0046217,              0.0046217
                      4,                 2.8119,                 3.1475,                  1.713,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0081467,              0.0041436,              0.0041436
                      5,                 2.6864,                 3.0508,                 1.6727,                0.44901,                0.30708,                0.29856,                0.11464,                 2.8003,                 2.6315,                 1.6847,              0.0022119,              0.0022119,              0.0022119
